Key,Score,First Word,antibiotic,gene
amoxicillin_K18781,3,Strong,amoxicillin,K18781
amoxicillin_K18790,3,Strong,amoxicillin,K18790
amoxicillin_K18791,3,Strong,amoxicillin,K18791
amoxicillin_K18792,3,Strong,amoxicillin,K18792
amoxicillin_K18793,3,Strong,amoxicillin,K18793
amoxicillin_K18794,3,Strong,amoxicillin,K18794
amoxicillin_K18795,3,Strong,amoxicillin,K18795
amoxicillin_K18796,3,Strong,amoxicillin,K18796
amoxicillin_K18797,3,Strong,amoxicillin,K18797
amoxicillin_K18845,3,Strong,amoxicillin,K18845
amoxicillin_K18891,3,Strong,amoxicillin,K18891
amoxicillin_K18892,3,Strong,amoxicillin,K18892
amoxicillin_K18898,2,Moderate,amoxicillin,K18898
amoxicillin_K18899,2,Moderate,amoxicillin,K18899
amoxicillin_K18901,2,Moderate,amoxicillin,K18901
amoxicillin_K18902,2,Moderate,amoxicillin,K18902
amoxicillin_K18903,2,Moderate,amoxicillin,K18903
amoxicillin_K18906,2,Moderate,amoxicillin,K18906
amoxicillin_K18908,2,Moderate,amoxicillin,K18908
amoxicillin_K18909,2,Moderate,amoxicillin,K18909
amoxicillin_K18935,2,Moderate,amoxicillin,K18935
amoxicillin_K18970,3,Strong,amoxicillin,K18970
amoxicillin_K18971,3,Strong,amoxicillin,K18971
amoxicillin_K18972,3,Strong,amoxicillin,K18972
amoxicillin_K18973,3,Strong,amoxicillin,K18973
amoxicillin_K18976,3,Strong,amoxicillin,K18976
amoxicillin_K19096,3,Strong,amoxicillin,K19096
amoxicillin_K19097,3,Strong,amoxicillin,K19097
amoxicillin_K19100,3,Strong,amoxicillin,K19100
amoxicillin_K19101,3,Strong,amoxicillin,K19101
amoxicillin_K19215,3,Strong,amoxicillin,K19215
amoxicillin_K19218,3,Strong,amoxicillin,K19218
amoxicillin_K19274,3,Strong,amoxicillin,K19274
amoxicillin_K19299,-1,Evidence,amoxicillin,K19299
amoxicillin_K19318,3,Strong,amoxicillin,K19318
amoxicillin_K19319,3,Strong,amoxicillin,K19319
amoxicillin_K19586,2,Moderate,amoxicillin,K19586
amoxicillin_K19593,3,Strong,amoxicillin,K19593
amoxicillin_K20319,3,Strong,amoxicillin,K20319
amoxicillin_K20320,3,Strong,amoxicillin,K20320
amoxicillin_K21134,2,Moderate,amoxicillin,K21134
amoxicillin_K21135,3,Strong,amoxicillin,K21135
amoxicillin_K21136,3,Strong,amoxicillin,K21136
amoxicillin_K21137,2,Moderate,amoxicillin,K21137
amoxicillin_K21264,2,Moderate,amoxicillin,K21264
amoxicillin-clavulanic acid_K00687,3,Strong,amoxicillin-clavulanic acid,K00687
amoxicillin-clavulanic acid_K01467,3,Strong,amoxicillin-clavulanic acid,K01467
amoxicillin-clavulanic acid_K03297,3,Strong,amoxicillin-clavulanic acid,K03297
amoxicillin-clavulanic acid_K03327,3,Strong,amoxicillin-clavulanic acid,K03327
amoxicillin-clavulanic acid_K03446,2,Moderate,amoxicillin-clavulanic acid,K03446
amoxicillin-clavulanic acid_K03543,3,Strong,amoxicillin-clavulanic acid,K03543
amoxicillin-clavulanic acid_K03577,-1,Evidence,amoxicillin-clavulanic acid,K03577
amoxicillin-clavulanic acid_K03585,3,Strong,amoxicillin-clavulanic acid,K03585
amoxicillin-clavulanic acid_K03587,3,Strong,amoxicillin-clavulanic acid,K03587
amoxicillin-clavulanic acid_K03712,2,Moderate,amoxicillin-clavulanic acid,K03712
amoxicillin-clavulanic acid_K07552,2,Moderate,amoxicillin-clavulanic acid,K07552
amoxicillin-clavulanic acid_K07662,2,Moderate,amoxicillin-clavulanic acid,K07662
amoxicillin-clavulanic acid_K07690,3,Strong,amoxicillin-clavulanic acid,K07690
amoxicillin-clavulanic acid_K07788,3,Strong,amoxicillin-clavulanic acid,K07788
amoxicillin-clavulanic acid_K07789,2,Moderate,amoxicillin-clavulanic acid,K07789
amoxicillin-clavulanic acid_K08162,3,Strong,amoxicillin-clavulanic acid,K08162
amoxicillin-clavulanic acid_K08170,3,Strong,amoxicillin-clavulanic acid,K08170
amoxicillin-clavulanic acid_K08217,2,Moderate,amoxicillin-clavulanic acid,K08217
amoxicillin-clavulanic acid_K09475,3,Strong,amoxicillin-clavulanic acid,K09475
amoxicillin-clavulanic acid_K11742,2,Moderate,amoxicillin-clavulanic acid,K11742
amoxicillin-clavulanic acid_K12340,3,Strong,amoxicillin-clavulanic acid,K12340
amoxicillin-clavulanic acid_K12556,3,Strong,amoxicillin-clavulanic acid,K12556
amoxicillin-clavulanic acid_K13632,3,Strong,amoxicillin-clavulanic acid,K13632
amoxicillin-clavulanic acid_K15550,2,Moderate,amoxicillin-clavulanic acid,K15550
amoxicillin-clavulanic acid_K15974,2,Moderate,amoxicillin-clavulanic acid,K15974
amoxicillin-clavulanic acid_K17836,3,Strong,amoxicillin-clavulanic acid,K17836
amoxicillin-clavulanic acid_K18073,2,Moderate,amoxicillin-clavulanic acid,K18073
amoxicillin-clavulanic acid_K18095,3,Strong,amoxicillin-clavulanic acid,K18095
amoxicillin-clavulanic acid_K18129,3,Strong,amoxicillin-clavulanic acid,K18129
amoxicillin-clavulanic acid_K18130,2,Moderate,amoxicillin-clavulanic acid,K18130
amoxicillin-clavulanic acid_K18131,2,Moderate,amoxicillin-clavulanic acid,K18131
amoxicillin-clavulanic acid_K18135,3,Strong,amoxicillin-clavulanic acid,K18135
amoxicillin-clavulanic acid_K18138,3,Strong,amoxicillin-clavulanic acid,K18138
amoxicillin-clavulanic acid_K18139,3,Strong,amoxicillin-clavulanic acid,K18139
amoxicillin-clavulanic acid_K18141,2,Moderate,amoxicillin-clavulanic acid,K18141
amoxicillin-clavulanic acid_K18144,3,Strong,amoxicillin-clavulanic acid,K18144
amoxicillin-clavulanic acid_K18145,3,Strong,amoxicillin-clavulanic acid,K18145
amoxicillin-clavulanic acid_K18147,2,Moderate,amoxicillin-clavulanic acid,K18147
amoxicillin-clavulanic acid_K18294,3,Strong,amoxicillin-clavulanic acid,K18294
amoxicillin-clavulanic acid_K18297,2,Moderate,amoxicillin-clavulanic acid,K18297
amoxicillin-clavulanic acid_K18298,3,Strong,amoxicillin-clavulanic acid,K18298
amoxicillin-clavulanic acid_K18299,2,Moderate,amoxicillin-clavulanic acid,K18299
amoxicillin-clavulanic acid_K18300,2,Moderate,amoxicillin-clavulanic acid,K18300
amoxicillin-clavulanic acid_K18302,3,Strong,amoxicillin-clavulanic acid,K18302
amoxicillin-clavulanic acid_K18303,1,Weak,amoxicillin-clavulanic acid,K18303
amoxicillin-clavulanic acid_K18305,2,Moderate,amoxicillin-clavulanic acid,K18305
amoxicillin-clavulanic acid_K18307,3,Strong,amoxicillin-clavulanic acid,K18307
amoxicillin-clavulanic acid_K18591,3,Strong,amoxicillin-clavulanic acid,K18591
amoxicillin-clavulanic acid_K18698,3,Strong,amoxicillin-clavulanic acid,K18698
amoxicillin-clavulanic acid_K18766,3,Strong,amoxicillin-clavulanic acid,K18766
amoxicillin-clavulanic acid_K18767,3,Strong,amoxicillin-clavulanic acid,K18767
amoxicillin-clavulanic acid_K18768,3,Strong,amoxicillin-clavulanic acid,K18768
amoxicillin-clavulanic acid_K18780,3,Strong,amoxicillin-clavulanic acid,K18780
amoxicillin-clavulanic acid_K18781,3,Strong,amoxicillin-clavulanic acid,K18781
amoxicillin-clavulanic acid_K18790,3,Strong,amoxicillin-clavulanic acid,K18790
amoxicillin-clavulanic acid_K18791,3,Strong,amoxicillin-clavulanic acid,K18791
amoxicillin-clavulanic acid_K18792,3,Strong,amoxicillin-clavulanic acid,K18792
amoxicillin-clavulanic acid_K18793,3,Strong,amoxicillin-clavulanic acid,K18793
amoxicillin-clavulanic acid_K18794,3,Strong,amoxicillin-clavulanic acid,K18794
amoxicillin-clavulanic acid_K18795,2,Moderate,amoxicillin-clavulanic acid,K18795
amoxicillin-clavulanic acid_K18796,3,Strong,amoxicillin-clavulanic acid,K18796
amoxicillin-clavulanic acid_K18797,3,Strong,amoxicillin-clavulanic acid,K18797
amoxicillin-clavulanic acid_K18817,3,Strong,amoxicillin-clavulanic acid,K18817
amoxicillin-clavulanic acid_K18824,2,Moderate,amoxicillin-clavulanic acid,K18824
amoxicillin-clavulanic acid_K18891,3,Strong,amoxicillin-clavulanic acid,K18891
amoxicillin-clavulanic acid_K18892,2,Moderate,amoxicillin-clavulanic acid,K18892
amoxicillin-clavulanic acid_K18898,2,Moderate,amoxicillin-clavulanic acid,K18898
amoxicillin-clavulanic acid_K18899,3,Strong,amoxicillin-clavulanic acid,K18899
amoxicillin-clavulanic acid_K18901,3,Strong,amoxicillin-clavulanic acid,K18901
amoxicillin-clavulanic acid_K18903,3,Strong,amoxicillin-clavulanic acid,K18903
amoxicillin-clavulanic acid_K18909,2,Moderate,amoxicillin-clavulanic acid,K18909
amoxicillin-clavulanic acid_K18970,3,Strong,amoxicillin-clavulanic acid,K18970
amoxicillin-clavulanic acid_K18971,3,Strong,amoxicillin-clavulanic acid,K18971
amoxicillin-clavulanic acid_K18972,3,Strong,amoxicillin-clavulanic acid,K18972
amoxicillin-clavulanic acid_K18973,3,Strong,amoxicillin-clavulanic acid,K18973
amoxicillin-clavulanic acid_K18975,2,Moderate,amoxicillin-clavulanic acid,K18975
amoxicillin-clavulanic acid_K18976,3,Strong,amoxicillin-clavulanic acid,K18976
amoxicillin-clavulanic acid_K19097,3,Strong,amoxicillin-clavulanic acid,K19097
amoxicillin-clavulanic acid_K19100,3,Strong,amoxicillin-clavulanic acid,K19100
amoxicillin-clavulanic acid_K19101,3,Strong,amoxicillin-clavulanic acid,K19101
amoxicillin-clavulanic acid_K19218,3,Strong,amoxicillin-clavulanic acid,K19218
amoxicillin-clavulanic acid_K19318,2,Moderate,amoxicillin-clavulanic acid,K19318
amoxicillin-clavulanic acid_K19319,2,Moderate,amoxicillin-clavulanic acid,K19319
amoxicillin-clavulanic acid_K19576,2,Moderate,amoxicillin-clavulanic acid,K19576
amoxicillin-clavulanic acid_K19585,2,Moderate,amoxicillin-clavulanic acid,K19585
amoxicillin-clavulanic acid_K19586,2,Moderate,amoxicillin-clavulanic acid,K19586
amoxicillin-clavulanic acid_K19593,3,Strong,amoxicillin-clavulanic acid,K19593
amoxicillin-clavulanic acid_K20319,3,Strong,amoxicillin-clavulanic acid,K20319
amoxicillin-clavulanic acid_K20320,3,Strong,amoxicillin-clavulanic acid,K20320
amoxicillin-clavulanic acid_K21133,-1,Evidence,amoxicillin-clavulanic acid,K21133
amoxicillin-clavulanic acid_K21134,2,Moderate,amoxicillin-clavulanic acid,K21134
amoxicillin-clavulanic acid_K21136,2,Moderate,amoxicillin-clavulanic acid,K21136
amoxicillin-clavulanic acid_K21253,2,Moderate,amoxicillin-clavulanic acid,K21253
ampicillin_K00687,3,Strong,ampicillin,K00687
ampicillin_K00790,-1,Evidence,ampicillin,K00790
ampicillin_K00796,-1,Evidence,ampicillin,K00796
ampicillin_K01467,3,Strong,ampicillin,K01467
ampicillin_K02546,3,Strong,ampicillin,K02546
ampicillin_K02547,3,Strong,ampicillin,K02547
ampicillin_K03046,2,Moderate,ampicillin,K03046
ampicillin_K03297,3,Strong,ampicillin,K03297
ampicillin_K03327,2,Moderate,ampicillin,K03327
ampicillin_K03446,1,Weak,ampicillin,K03446
ampicillin_K03543,3,Strong,ampicillin,K03543
ampicillin_K03577,2,Moderate,ampicillin,K03577
ampicillin_K03585,3,Strong,ampicillin,K03585
ampicillin_K03587,3,Strong,ampicillin,K03587
ampicillin_K03712,2,Moderate,ampicillin,K03712
ampicillin_K05804,2,Moderate,ampicillin,K05804
ampicillin_K06159,2,Moderate,ampicillin,K06159
ampicillin_K07552,2,Moderate,ampicillin,K07552
ampicillin_K07642,2,Moderate,ampicillin,K07642
ampicillin_K07662,2,Moderate,ampicillin,K07662
ampicillin_K07664,3,Strong,ampicillin,K07664
ampicillin_K07788,2,Moderate,ampicillin,K07788
ampicillin_K07789,3,Strong,ampicillin,K07789
ampicillin_K07799,3,Strong,ampicillin,K07799
ampicillin_K08161,3,Strong,ampicillin,K08161
ampicillin_K08162,2,Moderate,ampicillin,K08162
ampicillin_K08168,3,Strong,ampicillin,K08168
ampicillin_K08217,3,Strong,ampicillin,K08217
ampicillin_K09475,2,Moderate,ampicillin,K09475
ampicillin_K09476,2,Moderate,ampicillin,K09476
ampicillin_K10012,2,Moderate,ampicillin,K10012
ampicillin_K12340,3,Strong,ampicillin,K12340
ampicillin_K12556,3,Strong,ampicillin,K12556
ampicillin_K13631,2,Moderate,ampicillin,K13631
ampicillin_K13632,3,Strong,ampicillin,K13632
ampicillin_K15549,2,Moderate,ampicillin,K15549
ampicillin_K15550,3,Strong,ampicillin,K15550
ampicillin_K15974,2,Moderate,ampicillin,K15974
ampicillin_K17836,3,Strong,ampicillin,K17836
ampicillin_K18072,2,Moderate,ampicillin,K18072
ampicillin_K18073,3,Strong,ampicillin,K18073
ampicillin_K18095,3,Strong,ampicillin,K18095
ampicillin_K18129,3,Strong,ampicillin,K18129
ampicillin_K18130,3,Strong,ampicillin,K18130
ampicillin_K18135,3,Strong,ampicillin,K18135
ampicillin_K18138,3,Strong,ampicillin,K18138
ampicillin_K18139,3,Strong,ampicillin,K18139
ampicillin_K18142,3,Strong,ampicillin,K18142
ampicillin_K18144,3,Strong,ampicillin,K18144
ampicillin_K18145,3,Strong,ampicillin,K18145
ampicillin_K18147,2,Moderate,ampicillin,K18147
ampicillin_K18150,2,Moderate,ampicillin,K18150
ampicillin_K18220,3,Strong,ampicillin,K18220
ampicillin_K18295,3,Strong,ampicillin,K18295
ampicillin_K18297,2,Moderate,ampicillin,K18297
ampicillin_K18298,3,Strong,ampicillin,K18298
ampicillin_K18299,3,Strong,ampicillin,K18299
ampicillin_K18300,2,Moderate,ampicillin,K18300
ampicillin_K18302,2,Moderate,ampicillin,K18302
ampicillin_K18305,2,Moderate,ampicillin,K18305
ampicillin_K18306,3,Strong,ampicillin,K18306
ampicillin_K18307,2,Moderate,ampicillin,K18307
ampicillin_K18308,3,Strong,ampicillin,K18308
ampicillin_K18324,3,Strong,ampicillin,K18324
ampicillin_K18698,3,Strong,ampicillin,K18698
ampicillin_K18699,3,Strong,ampicillin,K18699
ampicillin_K18766,3,Strong,ampicillin,K18766
ampicillin_K18767,3,Strong,ampicillin,K18767
ampicillin_K18768,3,Strong,ampicillin,K18768
ampicillin_K18780,3,Strong,ampicillin,K18780
ampicillin_K18781,3,Strong,ampicillin,K18781
ampicillin_K18782,3,Strong,ampicillin,K18782
ampicillin_K18790,3,Strong,ampicillin,K18790
ampicillin_K18791,3,Strong,ampicillin,K18791
ampicillin_K18792,3,Strong,ampicillin,K18792
ampicillin_K18793,3,Strong,ampicillin,K18793
ampicillin_K18794,3,Strong,ampicillin,K18794
ampicillin_K18795,3,Strong,ampicillin,K18795
ampicillin_K18796,3,Strong,ampicillin,K18796
ampicillin_K18797,3,Strong,ampicillin,K18797
ampicillin_K18824,3,Strong,ampicillin,K18824
ampicillin_K18891,2,Moderate,ampicillin,K18891
ampicillin_K18892,2,Moderate,ampicillin,K18892
ampicillin_K18898,2,Moderate,ampicillin,K18898
ampicillin_K18899,2,Moderate,ampicillin,K18899
ampicillin_K18901,2,Moderate,ampicillin,K18901
ampicillin_K18902,3,Strong,ampicillin,K18902
ampicillin_K18903,3,Strong,ampicillin,K18903
ampicillin_K18908,2,Moderate,ampicillin,K18908
ampicillin_K18909,2,Moderate,ampicillin,K18909
ampicillin_K18935,3,Strong,ampicillin,K18935
ampicillin_K18970,3,Strong,ampicillin,K18970
ampicillin_K18971,3,Strong,ampicillin,K18971
ampicillin_K18972,3,Strong,ampicillin,K18972
ampicillin_K18973,3,Strong,ampicillin,K18973
ampicillin_K18976,3,Strong,ampicillin,K18976
ampicillin_K19096,3,Strong,ampicillin,K19096
ampicillin_K19097,3,Strong,ampicillin,K19097
ampicillin_K19100,3,Strong,ampicillin,K19100
ampicillin_K19101,3,Strong,ampicillin,K19101
ampicillin_K19215,3,Strong,ampicillin,K19215
ampicillin_K19218,3,Strong,ampicillin,K19218
ampicillin_K19315,-1,Evidence,ampicillin,K19315
ampicillin_K19318,3,Strong,ampicillin,K19318
ampicillin_K19319,3,Strong,ampicillin,K19319
ampicillin_K19585,3,Strong,ampicillin,K19585
ampicillin_K19586,2,Moderate,ampicillin,K19586
ampicillin_K19593,2,Moderate,ampicillin,K19593
ampicillin_K19883,3,Strong,ampicillin,K19883
ampicillin_K20319,3,Strong,ampicillin,K20319
ampicillin_K20320,3,Strong,ampicillin,K20320
ampicillin_K21133,2,Moderate,ampicillin,K21133
ampicillin_K21135,3,Strong,ampicillin,K21135
ampicillin_K21136,3,Strong,ampicillin,K21136
ampicillin_K21137,3,Strong,ampicillin,K21137
ampicillin_K21264,2,Moderate,ampicillin,K21264
ampicillin-sulbactam_K00677,2,Moderate,ampicillin-sulbactam,K00677
ampicillin-sulbactam_K00687,3,Strong,ampicillin-sulbactam,K00687
ampicillin-sulbactam_K01467,3,Strong,ampicillin-sulbactam,K01467
ampicillin-sulbactam_K02470,2,Moderate,ampicillin-sulbactam,K02470
ampicillin-sulbactam_K02547,3,Strong,ampicillin-sulbactam,K02547
ampicillin-sulbactam_K03043,2,Moderate,ampicillin-sulbactam,K03043
ampicillin-sulbactam_K03297,1,Weak,ampicillin-sulbactam,K03297
ampicillin-sulbactam_K03446,2,Moderate,ampicillin-sulbactam,K03446
ampicillin-sulbactam_K03577,3,Strong,ampicillin-sulbactam,K03577
ampicillin-sulbactam_K03585,3,Strong,ampicillin-sulbactam,K03585
ampicillin-sulbactam_K03587,3,Strong,ampicillin-sulbactam,K03587
ampicillin-sulbactam_K03712,1,Weak,ampicillin-sulbactam,K03712
ampicillin-sulbactam_K03760,1,Weak,ampicillin-sulbactam,K03760
ampicillin-sulbactam_K05804,2,Moderate,ampicillin-sulbactam,K05804
ampicillin-sulbactam_K06159,1,Weak,ampicillin-sulbactam,K06159
ampicillin-sulbactam_K06979,2,Moderate,ampicillin-sulbactam,K06979
ampicillin-sulbactam_K07552,3,Strong,ampicillin-sulbactam,K07552
ampicillin-sulbactam_K07662,2,Moderate,ampicillin-sulbactam,K07662
ampicillin-sulbactam_K07690,3,Strong,ampicillin-sulbactam,K07690
ampicillin-sulbactam_K07788,3,Strong,ampicillin-sulbactam,K07788
ampicillin-sulbactam_K07789,2,Moderate,ampicillin-sulbactam,K07789
ampicillin-sulbactam_K08162,2,Moderate,ampicillin-sulbactam,K08162
ampicillin-sulbactam_K08167,3,Strong,ampicillin-sulbactam,K08167
ampicillin-sulbactam_K09475,3,Strong,ampicillin-sulbactam,K09475
ampicillin-sulbactam_K09476,2,Moderate,ampicillin-sulbactam,K09476
ampicillin-sulbactam_K12340,3,Strong,ampicillin-sulbactam,K12340
ampicillin-sulbactam_K12556,2,Moderate,ampicillin-sulbactam,K12556
ampicillin-sulbactam_K13632,2,Moderate,ampicillin-sulbactam,K13632
ampicillin-sulbactam_K15547,3,Strong,ampicillin-sulbactam,K15547
ampicillin-sulbactam_K15550,3,Strong,ampicillin-sulbactam,K15550
ampicillin-sulbactam_K15974,2,Moderate,ampicillin-sulbactam,K15974
ampicillin-sulbactam_K17836,2,Moderate,ampicillin-sulbactam,K17836
ampicillin-sulbactam_K18073,2,Moderate,ampicillin-sulbactam,K18073
ampicillin-sulbactam_K18095,3,Strong,ampicillin-sulbactam,K18095
ampicillin-sulbactam_K18129,3,Strong,ampicillin-sulbactam,K18129
ampicillin-sulbactam_K18130,2,Moderate,ampicillin-sulbactam,K18130
ampicillin-sulbactam_K18135,3,Strong,ampicillin-sulbactam,K18135
ampicillin-sulbactam_K18138,3,Strong,ampicillin-sulbactam,K18138
ampicillin-sulbactam_K18139,3,Strong,ampicillin-sulbactam,K18139
ampicillin-sulbactam_K18141,3,Strong,ampicillin-sulbactam,K18141
ampicillin-sulbactam_K18142,3,Strong,ampicillin-sulbactam,K18142
ampicillin-sulbactam_K18144,3,Strong,ampicillin-sulbactam,K18144
ampicillin-sulbactam_K18145,3,Strong,ampicillin-sulbactam,K18145
ampicillin-sulbactam_K18147,3,Strong,ampicillin-sulbactam,K18147
ampicillin-sulbactam_K18150,2,Moderate,ampicillin-sulbactam,K18150
ampicillin-sulbactam_K18295,3,Strong,ampicillin-sulbactam,K18295
ampicillin-sulbactam_K18297,3,Strong,ampicillin-sulbactam,K18297
ampicillin-sulbactam_K18298,3,Strong,ampicillin-sulbactam,K18298
ampicillin-sulbactam_K18303,2,Moderate,ampicillin-sulbactam,K18303
ampicillin-sulbactam_K18305,2,Moderate,ampicillin-sulbactam,K18305
ampicillin-sulbactam_K18306,3,Strong,ampicillin-sulbactam,K18306
ampicillin-sulbactam_K18307,3,Strong,ampicillin-sulbactam,K18307
ampicillin-sulbactam_K18308,2,Moderate,ampicillin-sulbactam,K18308
ampicillin-sulbactam_K18324,3,Strong,ampicillin-sulbactam,K18324
ampicillin-sulbactam_K18698,3,Strong,ampicillin-sulbactam,K18698
ampicillin-sulbactam_K18699,3,Strong,ampicillin-sulbactam,K18699
